Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.0007074000000102387   0.0016467000000375265   100 
0.0006896000001006541   0.0025493000000551547   150 
0.0012546000000384083   0.004018499999915548   200 
0.002149000000031265   0.0071421999999756736   300 
0.006114400000001297   0.02658489999998892   500 
0.02331760000004124   0.08919099999991431   750 
0.03433749999999236   0.18368839999993725   1000 
0.11390959999994266   1.8885665000000245   1800 
0.6215929999999616   1.7774990000000344   2500 
0.013635600000043269   0.015053500000021813   2 
6.559999997080013e-05   0.00018069999998715502   3 
4.720000003999303e-05   0.0001305000000684231   5 
4.100000001017179e-05   0.00011530000006132468   7 
3.9600000036443816e-05   0.00011619999997947161   10 
4.2200000052616815e-05   0.00011840000001939188   12 
5.610000005162874e-05   0.00014299999998002022   15 
4.690000002938177e-05   0.0001730999999836058   20 
8.979999995517574e-05   0.00020670000003519817   30 
0.000426500000003216   0.00029929999993782985   40 
0.0001508999999941807   0.00047710000001188746   50 
0.00016100000004826143   0.0007208000000673565   70 
0.0003119000000424421   0.0011665999999195265   100 
0.0003060999999888736   0.0021765000000186774   150 
0.0010796000000254935   0.0036714000000301894   200 
0.00232970000001842   0.006947900000000118   300 
0.006587999999965177   0.025204500000086227   500 
0.021853299999975206   0.0909483000000364   750 
0.038357599999926606   0.17921639999997296   1000 
0.11115580000000591   1.3699036000000433   1800 
0.6058937999999898   2.339030800000046   2500 
0.010601299999962066   0.011149100000011458   2 
6.740000003446767e-05   0.0004002000000582484   3 
4.2600000028869545e-05   0.00015120000000479195   5 
3.300000003036985e-05   0.00011580000000321888   7 
2.8799999995499093e-05   0.00011239999992085359   10 
3.649999996468978e-05   0.0001111999999920954   12 
3.5899999943467265e-05   0.00011370000004262693   15 
3.890000004957983e-05   0.00032140000007530034   20 
0.00023889999999937572   0.0002502999999478561   30 
0.00015400000006593473   0.0004294999999956417   40 
0.0006744999999455104   0.0007889999999406427   50 
0.0006685999999263004   0.001133699999968485   70 
0.0007178000000749307   0.0015838000000485408   100 
0.0006563999999116277   0.0025015999999595806   150 
0.0006372000000283151   0.0038573000000496904   200 
0.002931999999987056   0.00819750000005115   300 
0.008389500000021144   0.027760800000010022   500 
0.02002950000007786   0.091325700000084   750 
0.0351568999999472   0.18225639999991472   1000 
0.11423789999992096   0.8873993999999357   1800 
0.5877990000000182   3.188635999999974   2500 
0.014967200000000958   0.013343600000098377   2 
6.69999999445281e-05   0.00018310000007204508   3 
4.2200000052616815e-05   0.00011729999994258833   5 
4.3399999981375004e-05   0.00013290000003962632   7 
5.960000009963551e-05   0.00016559999994569807   10 
4.9700000090524554e-05   0.0001321999999390755   12 
4.8300000003109744e-05   0.00012590000005729962   15 
4.8699999979362474e-05   0.00017849999994723476   20 
0.0003318000000263055   0.0003948999999465741   30 
0.0005121000000372078   0.000571600000057515   40 
0.0007524000000103115   0.000814100000070539   50 
0.0007033000000546963   0.0010083999999324078   70 
0.0006862999999839303   0.0015819999999848733   100 
