Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
9.399999999004649e-05   0.00031900000021778396   70 
0.0005710999998882471   0.0006604999998671701   100 
0.00018219999992652447   0.0006530999999085907   150 
0.00034469999991415534   0.0010591000000204076   200 
0.001652100000228529   0.0046858000000611355   300 
0.006390699999883509   0.016461100000014994   500 
0.022648099999969418   0.050916400000005524   750 
0.029035900000053516   0.09494790000007924   1000 
0.09943840000005366   0.3669792000000598   1800 
0.18632400000024063   1.8350992000000588   2500 
1.3392330000001493   3.790821799999776   4000 
0.050544600000193896   0.0007718000001659675   2 
0.00016249999998763087   0.000864499999806867   3 
0.00013130000024830224   0.0009129999998549465   5 
0.0001299000000472006   0.0036337000001367414   7 
0.0001625999998395855   0.0012354999998933636   10 
0.0001563999999234511   0.0013525999997909821   12 
0.0001604999997653067   0.0018827999997483857   15 
0.00019729999985429458   0.0015982999998414016   20 
0.00019060000022363965   0.0018752999999378517   30 
0.0002258999998048239   0.0014012999999977183   40 
0.0002478999999766529   0.0015877000000728003   50 
0.0013571999998021056   0.0027324000002408866   70 
0.0012786000002051878   0.0029812000002493733   100 
0.0015484999998989224   0.004513200000019424   150 
0.0011362000000190164   0.0034273000001121545   200 
0.0058146000001215725   0.008708299999852898   300 
0.012320299999828421   0.04202880000002551   500 
0.0616464999998243   0.1576348999997208   750 
0.10682859999997163   0.25842029999967053   1000 
0.3303310999999667   0.3879459999998289   1800 
0.18170820000023014   0.8133388999999625   2500 
0.4841898999998193   4.584898600000088   4000 
0.016842699999870092   0.00022050000006856862   2 
5.830000009154901e-05   0.00013069999977233238   3 
9.040000031745876e-05   0.00028350000002319575   5 
6.8700000156241e-05   0.0001793000001271139   7 
5.4400000408350024e-05   0.00015260000009220676   10 
0.00022739999985788018   0.0005852999997841835   12 
0.0001971000001503853   0.0005406000000220956   15 
0.0003316000002087094   0.0005547000000660773   20 
0.00012539999988803174   0.0010806000000229687   30 
0.00018480000017007114   0.0006487999999080785   40 
