Tiempo(s)   Memoria(bytes)    Tamaño 
25.59440450000011   384000000   4000 
0.1392362999999932   96   2 
8.879999995770049e-05   216   3 
8.449999995718827e-05   600   5 
6.60000000607397e-05   1176   7 
9.039999986271141e-05   2400   10 
9.219999992637895e-05   3456   12 
0.00010299999985363684   5400   15 
8.74000002113462e-05   9600   20 
0.0005355000002964516   21600   30 
0.000539300000127696   38400   40 
0.0005252999999356689   60000   50 
0.0009552999999868916   117600   70 
0.0009362999999211752   240000   100 
0.004243599999881553   540000   150 
0.004559299999982613   960000   200 
0.01323080000020127   2160000   300 
0.06541010000000824   6000000   500 
0.18580059999976584   13500000   750 
0.3623125999997683   24000000   1000 
2.004444700000022   77760000   1800 
5.404384399999799   150000000   2500 
23.494193900000027   384000000   4000 
0.056487100000140344   96   2 
5.809999993289239e-05   216   3 
5.700000019714935e-05   600   5 
9.669999963080045e-05   1176   7 
9.480000016992562e-05   2400   10 
8.500000012645614e-05   3456   12 
8.649999972476508e-05   5400   15 
0.00010259999999107094   9600   20 
0.0015656000000490167   21600   30 
0.0004880000001321605   38400   40 
0.0012349000003268884   60000   50 
0.000511999999616819   117600   70 
0.0009046999998645333   240000   100 
0.007087999999839667   540000   150 
0.005129999999553547   960000   200 
0.01779209999995146   2160000   300 
0.06228019999980461   6000000   500 
0.18549450000000434   13500000   750 
0.37899749999996857   24000000   1000 
2.10653050000019   77760000   1800 
6.2923218999999335   150000000   2500 
23.582154400000036   384000000   4000 
0.07264779999968596   96   2 
6.8700000156241e-05   216   3 
6.729999995513936e-05   600   5 
6.110000003900495e-05   1176   7 
5.4599999657511944e-05   2400   10 
6.050000001778244e-05   3456   12 
9.779999982129084e-05   5400   15 
9.480000016992562e-05   9600   20 
0.000667299999804527   21600   30 
0.0005848000000696629   38400   40 
0.0005687999996553117   60000   50 
0.0005696000002899382   117600   70 
0.0010007999999288586   240000   100 
0.0019548000000213506   540000   150 
0.004835499999899184   960000   200 
0.014760499999738386   2160000   300 
0.06905529999994542   6000000   500 
0.1603334999999788   13500000   750 
0.5228833999999551   24000000   1000 
2.013206699999955   77760000   1800 
6.5135065999998005   150000000   2500 
23.055813200000102   384000000   4000 
0.09501220000038302   96   2 
7.890000006227638e-05   216   3 
8.179999986168696e-05   600   5 
7.030000006125192e-05   1176   7 
6.220000022949534e-05   2400   10 
8.660000003146706e-05   3456   12 
8.580000030633528e-05   5400   15 
9.820000013860408e-05   9600   20 
0.0005807000002278073   21600   30 
0.0005956000004516682   38400   40 
0.0005866999999852851   60000   50 
0.0005735999998250918   117600   70 
0.0009205999999721826   240000   100 
0.0028958000002603512   540000   150 
0.0037711999998464307   960000   200 
0.03045189999966169   2160000   300 
0.05560920000016267   6000000   500 
0.18781699999999546   13500000   750 
0.38572640000029423   24000000   1000 
2.2873436000004403   77760000   1800 
6.7675914000001285   150000000   2500 
24.238955599999827   384000000   4000 
