Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
7.140000161598437e-05   3.590000051190145e-05   5 
9.180000051856041e-05   3.0400002287933603e-05   7 
0.00010889999975915998   3.279999873484485e-05   10 
0.00013019999823882245   2.7999998565064743e-05   12 
0.00015630000052624382   3.449999712756835e-05   15 
0.0003032000022358261   5.129999772179872e-05   20 
0.0002967000000353437   6.280000161495991e-05   30 
0.0004717999981949106   6.040000153006986e-05   40 
0.0006434999995690305   7.860000187065452e-05   50 
0.0008345000023837201   0.00012630000128410757   70 
0.0011861999992106576   0.0005643000004056375   100 
0.0020815999996557366   0.0007022999998298474   150 
0.0027169999993930105   0.0016672999990987591   200 
0.004225199998472817   0.005557200001931051   300 
0.007640199997695163   0.023186999998870306   500 
0.018646199998329394   0.08110229999874718   750 
0.01696090000041295   0.18569859999843175   1000 
0.04459569999744417   1.0156590000005963   1800 
0.06449809999685385   4.239702999999281   2500 
0.08996950000073412   15.701111800000945   4000 
0.09095919999890612   0.053062599999975646   2 
9.390000195708126e-05   4.930000068270601e-05   3 
0.00011529999756021425   4.909999915980734e-05   5 
0.00014799999917158857   4.610000178217888e-05   7 
0.00017490000027464703   5.279999822960235e-05   10 
0.00021149999884073623   4.229999831295572e-05   12 
0.000276400001894217   4.9700000090524554e-05   15 
0.0003479999977571424   5.880000026081689e-05   20 
0.00048800000149640255   8.95000011951197e-05   30 
0.0005462999979499727   0.000414699999964796   40 
0.0005677000008290634   0.00010560000009718351   50 
0.0007659000002604444   0.00015300000086426735   70 
0.0024471000033372547   0.0002992000008816831   100 
0.0026022999991255347   0.0010173999980906956   150 
0.0027205000005778857   0.0019333999989612494   200 
0.004965500000253087   0.005720400000427617   300 
0.007060800002363976   0.023891600001661573   500 
0.021432900000945665   0.09015170000202488   750 
0.028173200000310317   0.18171570000049542   1000 
0.03946219999852474   1.6547329999993963   1800 
0.17415320000145584   3.5590546000021277   2500 
0.10398720000011963   19.155858900001476   4000 
0.07981500000096275   0.04486249999899883   2 
8.929999967222102e-05   4.990000161342323e-05   3 
9.529999806545675e-05   5.020000025979243e-05   5 
0.00016680000044289045   5.4600001021753997e-05   7 
0.00017300000035902485   5.509999755304307e-05   10 
0.0002041000007011462   4.6299999667098746e-05   12 
0.00020000000222353265   4.6299999667098746e-05   15 
0.00027259999842499383   6.950000170036219e-05   20 
0.0003462999993644189   7.60000002628658e-05   30 
0.00043310000182827935   5.999999848427251e-05   40 
0.000658500001009088   8.750000051804818e-05   50 
0.0007853000024624635   0.00015379999967990443   70 
0.0015712000022176653   0.0003008999992744066   100 
0.0021013999976275954   0.0008631999990029726   150 
0.0035132999983034097   0.0018697999985306524   200 
0.005939499998930842   0.006218899998202687   300 
0.009850200000073528   0.030774999999266583   500 
0.025464399997872533   0.19051519999993616   750 
0.02791340000112541   0.282776100000774   1000 
0.05323059999864199   1.66065990000061   1800 
0.1942367000010563   3.639276099998824   2500 
0.08546669999850565   14.983969699998852   4000 
0.0580627999988792   0.05037880000236328   2 
6.819999907747842e-05   4.199999966658652e-05   3 
0.00015980000171111897   7.040000127744861e-05   5 
0.00012739999874611385   0.000464000000647502   7 
0.0001354000014543999   4.86999997519888e-05   10 
0.00023409999994328246   4.650000118999742e-05   12 
0.00026530000104685314   5.2999999752501026e-05   15 
0.0002339000020583626   4.149999949731864e-05   20 
0.0005233999982010573   0.00019979999706265517   30 
0.0007971999984874856   0.00020010000298498198   40 
0.0009903999998641666   0.0002361999977438245   50 
0.0010726999971666373   0.0001885999990918208   70 
0.001802899998438079   0.00035489999936544336   100 
0.0025879999993776437   0.0007828999987395946   150 
0.0036392000001796987   0.0021190999977989122   200 
0.004984600000170758   0.005762400000094203   300 
0.009235800000169547   0.026731999998446554   500 
0.018917599998530932   0.09274759999971138   750 
0.0290577999985544   0.20207579999987502   1000 
0.0262732999981381   2.089137099999789   1800 
0.15853509999942617   3.028749000000971   2500 
0.11350939999829279   15.896683099999791   4000 
0.3180610000017623   0.3081655999994837   2 
0.0001633000028959941   0.00028029999884893186   3 
0.0002604000001156237   0.00012069999866071157   5 
0.00026530000104685314   0.00010470000052009709   7 
0.0003789000002143439   0.00010939999992842786   10 
0.0006672000017715618   0.00010259999908157624   12 
0.03709389999858104   0.0010888999968301505   15 
0.001217599998199148   0.00013980000221636146   20 
0.001494300002377713   0.006885499999043532   30 
0.0029316000000108033   0.011385800000425661   40 
0.004761800002597738   0.007452599998941878   50 
0.0026763000023493078   0.0056977000022016   70 
0.0029088999981468078   0.05802060000132769   100 
0.008007399999769405   0.011520599997311365   150 
0.009747600000991952   0.041222099996957695   200 
0.016656300002068747   0.04831220000050962   300 
0.030719599999429192   0.2447933000003104   500 
0.06675099999847589   0.3071431999997003   750 
0.07916929999919375   0.44523259999914444   1000 
0.03196179999940796   0.9224106999972719   1800 
0.05154870000114897   4.207963400000153   2500 
0.0990090000013879   15.867973399999755   4000 
