Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.0009362999990116805   294   7 
0.0011926000006496906   600   10 
0.0007972000021254644   864   12 
0.0008407999994233251   1350   15 
0.001467500002036104   2400   20 
0.0011534000004758127   5400   30 
0.00678890000199317   9600   40 
0.0020096999978704844   15000   50 
0.004439500000444241   29400   70 
0.004871099998126738   60000   100 
0.010365499998442829   135000   150 
0.012009699999907752   240000   200 
0.021842599999217782   540000   300 
0.0636426000019128   1500000   500 
0.19341649999842048   3375000   750 
0.3305999000003794   6000000   1000 
1.3778139999994892   19440000   1800 
1.084643000001961   37500000   2500 
5.562177099996916   96000000   4000 
0.01972399999795016   24   2 
0.0004310000003897585   54   3 
0.00036019999970449135   150   5 
0.00035909999860450625   294   7 
0.0003198000013071578   600   10 
0.0007679000009375159   864   12 
0.00036130000080447644   1350   15 
0.0004193999993731268   2400   20 
0.0004301000008126721   5400   30 
0.004067099998792401   9600   40 
0.0011722999988705851   15000   50 
0.001934899999469053   29400   70 
0.001594099998328602   60000   100 
0.003139000000373926   135000   150 
0.005847399999765912   240000   200 
0.012688599999819417   540000   300 
0.04267219999746885   1500000   500 
0.2913905999994313   3375000   750 
0.14504309999756515   6000000   1000 
1.0969953000021633   19440000   1800 
2.163496100001794   37500000   2500 
5.913647400000627   96000000   4000 
0.011480000001029111   24   2 
0.0004429000000527594   54   3 
0.00036859999818261713   150   5 
0.0003753000019059982   294   7 
0.00030920000062906183   600   10 
0.0003269000008003786   864   12 
0.0001692000005277805   1350   15 
0.0002134000023943372   2400   20 
0.0007413000021188054   5400   30 
0.0005611999986285809   9600   40 
0.0011497999985294882   15000   50 
0.0009481999986746814   29400   70 
0.0012817999995604623   60000   100 
0.0025230999999621417   135000   150 
0.003877300001477124   240000   200 
0.009131400001933798   540000   300 
0.028326400002697483   1500000   500 
0.07373640000150772   3375000   750 
0.13809559999936027   6000000   1000 
0.6419580000001588   19440000   1800 
2.5366691000017454   37500000   2500 
5.557196599998861   96000000   4000 
