Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
6.98000003467314e-05   800   10 
6.27999979769811e-05   1152   12 
7.539999933214858e-05   1800   15 
0.00013619999663205817   3200   20 
0.00024080000002868474   7200   30 
0.00029720000020461157   12800   40 
0.000610499999311287   20000   50 
0.0006957000005058944   39200   70 
0.0013383000004978385   80000   100 
0.002134700000169687   180000   150 
0.003473900000244612   320000   200 
0.009182900001178496   720000   300 
0.039148300002125325   2000000   500 
0.10366069999872707   4500000   750 
0.2026798000006238   8000000   1000 
1.001548799999   25920000   1800 
4.177526600000419   50000000   2500 
14.484120400000393   128000000   4000 
0.012256200003321283   32   2 
6.430000212276354e-05   72   3 
5.7699999160831794e-05   200   5 
5.2299998060334474e-05   392   7 
6.939999730093405e-05   800   10 
6.140000186860561e-05   1152   12 
7.170000026235357e-05   1800   15 
0.00013309999849298038   3200   20 
0.00021950000154902227   7200   30 
0.00029540000105043873   12800   40 
0.0004974999974365346   20000   50 
0.0006949999988137279   39200   70 
0.0010643999994499609   80000   100 
0.0022657000008621253   180000   150 
0.003742299999430543   320000   200 
0.010773399997560773   720000   300 
0.031065400002262322   2000000   500 
0.09327910000138218   4500000   750 
0.2159852000004321   8000000   1000 
0.9281520999975328   25920000   1800 
4.086395300000731   50000000   2500 
13.49367390000043   128000000   4000 
0.04131569999663043   32   2 
0.00020470000163186342   72   3 
0.00020050000239280052   200   5 
0.0001899999988381751   392   7 
0.00024119999943650328   800   10 
0.00022259999968810007   1152   12 
0.00024670000129844993   1800   15 
0.00042300000131945126   3200   20 
0.0008460000026389025   7200   30 
0.0019257000021752901   12800   40 
0.001784899999620393   20000   50 
0.0019353999996383209   39200   70 
0.003633500000432832   80000   100 
0.007920000000012806   180000   150 
0.012473999999201624   320000   200 
0.03605769999921904   720000   300 
0.12520049999875482   2000000   500 
0.3511873999996169   4500000   750 
0.6449618000006012   8000000   1000 
0.9595961000013631   25920000   1800 
4.29031759999998   50000000   2500 
12.540904900000896   128000000   4000 
0.01290779999908409   32   2 
6.56000011076685e-05   72   3 
3.980000110459514e-05   200   5 
3.8800000766059384e-05   392   7 
5.9300000430084765e-05   800   10 
5.700000110664405e-05   1152   12 
6.349999966914766e-05   1800   15 
0.00017289999959757552   3200   20 
0.0002058000027318485   7200   30 
0.0002102999969793018   12800   40 
0.0005137999978614971   20000   50 
0.0007253000003402121   39200   70 
0.0010154000010516029   80000   100 
0.0021024999987275805   180000   150 
0.003197000001819106   320000   200 
0.013199400000303285   720000   300 
0.03273749999789288   2000000   500 
0.10161199999856763   4500000   750 
0.4572246999996423   8000000   1000 
2.5181463999979314   25920000   1800 
2.9715848000014375   50000000   2500 
13.82122999999774   128000000   4000 
0.013539799998397939   32   2 
8.70000003487803e-05   72   3 
5.819999933009967e-05   200   5 
5.790000068373047e-05   392   7 
8.209999941755086e-05   800   10 
7.060000280034728e-05   1152   12 
7.689999983995222e-05   1800   15 
0.0003079999987676274   3200   20 
0.00024140000095940195   7200   30 
0.00033090000215452164   12800   40 
0.0004488000013225246   20000   50 
0.0010660999978426844   39200   70 
0.0011880000020028092   80000   100 
0.0024588999986008275   180000   150 
0.006816500001150416   320000   200 
0.01195219999863184   720000   300 
0.03009600000223145   2000000   500 
0.10887379999985569   4500000   750 
0.22360189999744762   8000000   1000 
2.253620799998316   25920000   1800 
2.830518500002654   50000000   2500 
14.577840800000558   128000000   4000 
0.012274200002138969   32   2 
8.809999781078659e-05   72   3 
8.199999865610152e-05   200   5 
0.00010400000246590935   392   7 
8.099999831756577e-05   800   10 
5.610000152955763e-05   1152   12 
6.479999865405262e-05   1800   15 
0.00014310000187833793   3200   20 
0.00013330000001587905   7200   30 
0.00013839999883202836   12800   40 
0.00043509999886737205   20000   50 
0.0008247000005212612   39200   70 
0.0016013999993447214   80000   100 
0.0018466999972588383   180000   150 
0.0031703999993624166   320000   200 
0.00818010000148206   720000   300 
0.0359504999978526   2000000   500 
0.10734469999806606   4500000   750 
0.20799070000066422   8000000   1000 
1.4328827999997884   25920000   1800 
3.8361078000016278   50000000   2500 
14.778401399998984   128000000   4000 
0.013382500001171138   32   2 
7.93999970483128e-05   72   3 
4.669999907491729e-05   200   5 
5.950000195298344e-05   392   7 
8.170000000973232e-05   800   10 
7.250000271596946e-05   1152   12 
6.319999738479964e-05   1800   15 
